idEntrada,state,usuarioOnline,statusSaida,paginaSaida,avaliacao,dataHoraEntrada,dataHoraSaida,dataHoraErro,tempoAcesso,codigo,erro
60,GO,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,266,500,"""CHAVE PIX INCORRETA"""
61,PE,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,286,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
62,AC,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,180,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
63,SE,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,200,500,"""INTERNAL SERVER ERROR"""
64,RO,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:57,118,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
65,RR,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,111,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
66,GO,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,276,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
67,AC,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,294,500,"""CLIENTE NAO CADASTRADO"""
68,AL,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,246,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
69,SC,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,351,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
70,PE,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:03,486,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
71,MG,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,181,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
72,TO,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 17:56,18/05/2021 17:56,200,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
73,TO,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:03,361,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
74,CE,0,100%,0,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,155,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
75,PE,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,157,500,"""CHAVE PIX INCORRETA"""
76,AM,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,363,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
77,PB,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,206,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
78,SP,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,94,500,"""INTERNAL SERVER ERROR"""
79,PR,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,262,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
80,PB,0,100%,0,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,223,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
81,PR,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 17:59,241,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
82,RR,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,286,500,"""CLIENTE NAO CADASTRADO"""
83,BA,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,196,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
84,MS,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:02,317,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
85,PA,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 17:59,214,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
86,RS,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,280,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
87,SE,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:03,372,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
88,RJ,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,292,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
89,RR,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,201,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
90,MS,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:03,378,500,"""CHAVE PIX INCORRETA"""
91,RR,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,359,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
92,TO,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:02,306,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
93,RO,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,269,500,"""INTERNAL SERVER ERROR"""
94,ES,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,165,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
95,MT,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,403,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
96,RR,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,168,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
97,SE,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:04,502,500,"""CLIENTE NAO CADASTRADO"""
98,BA,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,424,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
99,CE,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 17:59,212,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
100,TO,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,117,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
101,PI,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,155,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
102,MS,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,271,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
103,RJ,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,210,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
104,PA,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,198,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
105,PB,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,126,500,"""CHAVE PIX INCORRETA"""
106,PI,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,235,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
107,PR,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:59,146,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
108,SC,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,40,500,"""INTERNAL SERVER ERROR"""
109,MS,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,194,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
110,PB,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:02,350,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
111,RJ,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,171,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
112,RN,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,313,500,"""CLIENTE NAO CADASTRADO"""
113,RR,0,100%,0,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:56,46,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
114,MG,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,233,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
115,ES,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,302,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
116,SC,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:00,276,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
117,AL,0,60%,2,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,253,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
118,SE,0,20%,4,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,163,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
119,AL,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,138,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
120,PI,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:59,117,500,"""CHAVE PIX INCORRETA"""
121,TO,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:01,254,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
122,RJ,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:59,126,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
123,BA,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:58,181,500,"""INTERNAL SERVER ERROR"""
124,PR,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,209,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
125,BA,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:04,461,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
126,MT,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:57,162,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
127,PR,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:01,268,500,"""CLIENTE NAO CADASTRADO"""
128,PI,0,100%,0,n/ avaliado,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,249,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
129,PA,1,80%,1,n/ avaliado,18/05/2021 17:57,18/05/2021 17:59,18/05/2021 17:58,125,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
130,MS,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:01,231,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
131,PB,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:04,18/05/2021 18:03,413,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
132,MS,0,20%,4,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:01,294,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
133,TO,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,245,550,"""ERRO NA VALIDACAO DE DADOS BASICOS"""
134,SE,0,40%,3,negativa,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 18:00,189,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
135,RR,0,60%,2,n/ avaliado,18/05/2021 17:57,18/05/2021 17:57,18/05/2021 17:56,200,500,"""CHAVE PIX INCORRETA"""
136,RS,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:03,376,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
137,MS,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,65,550,"""ERRO NA VALIDACAO DE DADOS COMPLEMENTARES"""
138,GO,0,40%,3,n/ avaliado,18/05/2021 17:57,18/05/2021 18:03,18/05/2021 18:01,329,500,"""INTERNAL SERVER ERROR"""
139,BA,0,20%,4,n/ avaliado,18/05/2021 17:57,18/05/2021 18:05,18/05/2021 18:03,469,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
140,PA,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,67,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO. TENTE NOVAMENTE MAIS TARDE"""
141,CE,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 18:02,18/05/2021 18:02,324,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
142,SP,0,60%,2,negativa,18/05/2021 17:57,18/05/2021 18:01,18/05/2021 18:00,209,500,"""CLIENTE NAO CADASTRADO"""
143,RN,0,100%,0,positiva,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,51,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
144,CE,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,58,550,"""NAO ENCONTROU DADOS PARA A SELECAO"""
145,AP,0,40%,3,positiva,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:57,48,550,"""NO MOMENTO ESTE SERIVCO ESTA INDISPONIVEL. POR FAVOR TENTE NOVAMENTE MAIS TARDE"""
146,MG,1,80%,1,positiva,18/05/2021 17:57,18/05/2021 18:00,18/05/2021 17:59,176,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
147,SE,1,80%,1,negativa,18/05/2021 17:57,18/05/2021 17:58,18/05/2021 17:58,65,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
